City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Lebu,CL,-37.62,-73.65,57.51,89,1,15.01,clear sky
83,Santa Isabel,BR,-23.32,-46.22,76.37,97,35,3.27,scattered clouds
84,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,79.54,77,45,9.08,scattered clouds
85,Touros,BR,-5.2,-35.46,79.7,77,100,13.06,overcast clouds
86,Hobart,AU,-42.88,147.33,68.02,70,75,9.22,broken clouds
87,Praya,CV,14.92,-23.51,73.94,64,0,17.27,clear sky
88,Kavaratti,IN,10.57,72.64,77.54,52,100,5.95,overcast clouds
89,Barrow,US,71.29,-156.79,-7.58,77,75,20.71,haze
90,Bengkulu,ID,-3.8,102.27,80.49,74,98,2.8,overcast clouds
91,Port Hawkesbury,CA,45.62,-61.35,39.18,98,100,4.61,overcast clouds
92,Olafsvik,IS,64.89,-23.71,35.22,62,90,8.68,light snow
93,Aykhal,RU,66.0,111.5,0.41,83,100,4.5,overcast clouds
94,Amahai,ID,-3.33,128.92,89.11,59,81,3.89,broken clouds
95,Mandurah,AU,-32.55,115.7,79.16,44,0,8.66,clear sky
96,Titlagarh,IN,20.3,83.15,64.33,51,0,1.97,clear sky
97,Salamiyah,SY,35.01,37.05,39.51,77,71,5.86,broken clouds
98,Khatanga,RU,71.97,102.5,-4.22,86,44,12.12,scattered clouds
99,Bouna,CI,9.27,-3.0,67.08,18,0,5.79,clear sky
100,Vanimo,PG,-2.67,141.3,85.5,68,61,5.7,broken clouds
101,Tual,ID,-5.67,132.75,84.49,74,96,10.49,overcast clouds
102,Myitkyina,MM,25.38,97.4,64.51,62,24,2.26,few clouds
103,Suntar,RU,62.14,117.63,-8.37,96,68,6.02,broken clouds
104,Ketchikan,US,55.34,-131.65,42.78,93,100,0.0,overcast clouds
105,Asahi,JP,35.72,140.65,43.27,84,100,13.91,overcast clouds
106,Mabaruma,GY,8.2,-59.78,71.67,84,74,3.02,broken clouds
107,Qaanaaq,GL,77.48,-69.36,-11.7,60,11,7.23,few clouds
108,Ribeira Grande,PT,38.52,-28.7,59.92,79,100,7.29,overcast clouds
109,Mar Del Plata,AR,-38.0,-57.56,76.08,100,75,1.01,broken clouds
110,Port Alfred,ZA,-33.59,26.89,71.76,87,100,11.1,light rain
111,Dicabisagan,PH,17.08,122.42,75.79,91,98,10.2,overcast clouds
112,Porterville,US,36.07,-119.02,53.58,71,0,2.66,clear sky
113,Rosarito,MX,32.33,-117.03,58.08,79,81,4.61,broken clouds
114,Aksarka,RU,66.56,67.8,13.08,94,100,12.8,overcast clouds
115,Tautira,PF,-17.73,-149.15,87.82,76,77,14.5,light rain
116,Zolotkovo,RU,55.53,41.11,11.01,96,100,2.91,light snow
117,Oranjemund,NA,-28.55,16.43,63.41,93,35,12.84,scattered clouds
118,Terrace,CA,54.52,-128.6,35.42,100,20,0.0,few clouds
119,Los Llanos De Aridane,ES,28.66,-17.92,58.75,64,40,1.99,scattered clouds
120,Voznesenye,RU,61.01,35.48,-1.08,99,57,5.75,broken clouds
121,Marawi,PH,8.0,124.29,72.64,63,100,1.9,overcast clouds
122,Nikolskoye,RU,59.7,30.79,15.69,100,81,2.84,broken clouds
123,Chicama,PE,-7.84,-79.15,68.54,75,54,5.28,broken clouds
124,Te Anau,NZ,-45.42,167.72,61.7,54,53,9.42,broken clouds
125,Coos Bay,US,43.37,-124.22,51.15,93,20,6.13,few clouds
126,Cidreira,BR,-30.18,-50.21,77.29,88,91,18.97,overcast clouds
127,Colac,AU,-38.33,143.58,92.62,26,57,4.7,broken clouds
128,Faanui,PF,-16.48,-151.75,81.07,75,79,12.91,light rain
129,Gobabis,NA,-22.45,18.97,69.33,53,87,8.21,overcast clouds
130,Frankfort,ZA,-27.27,28.48,56.03,94,21,7.43,few clouds
131,Ebbs,AT,47.63,12.22,30.18,91,5,4.34,clear sky
132,Romitan,UZ,39.93,64.38,24.75,100,75,2.3,fog
133,Arraial Do Cabo,BR,-22.97,-42.03,75.31,91,0,16.98,clear sky
134,Arman,RU,59.7,150.17,-4.99,75,100,7.07,overcast clouds
135,Saskylakh,RU,71.92,114.08,9.7,84,100,19.19,overcast clouds
136,Geraldton,AU,-28.77,114.6,86.41,28,0,12.66,clear sky
137,Adrar,MR,20.5,-10.07,64.47,17,100,4.45,overcast clouds
138,Baiyin,CN,36.56,104.21,23.88,49,97,4.74,overcast clouds
139,Were Ilu,ET,10.6,39.43,44.44,69,100,6.6,overcast clouds
140,Antofagasta,CL,-23.65,-70.4,65.48,78,4,3.89,clear sky
141,Tasiilaq,GL,65.61,-37.64,15.96,71,20,5.93,few clouds
142,Channel-Port Aux Basques,CA,47.57,-59.14,32.4,99,100,22.77,snow
143,Jibuti,DJ,11.5,42.5,67.42,78,7,8.95,clear sky
